id,comment_text,delays,access,costs,not about,errors
Coeliac_Disease-537663-3-11,"I am sure there are thousands of patients struggle and suffer many years , pent money , and took wrong medications as that happened with me .",0,0,0,0,1
Hemifacial_Spasm-521048-1-3,If you really need an answer and you can afford it then you could always go privately to see a neurologist or neurosurgeon who specialises in this area - best to insist upon and MRI scan - you will pay about 700 for consultation and scan if you go privately .,0,0,0,1,0
Polymyalgia_Rheumatica_and_GCA-621644-10-2,"But I defy anyone to live where I do and not tan unless they plaster in Factor 50 all year round ! Malabsorption is a minor issue with vit D though - since there is very little in our diet , less than 10 of what we require is available via food unless you eat large amounts of oily fish or animal liver ( yuk ! ) .",0,0,0,1,0
Venlafaxine-625335-0-3,This month I have been changed to prolonged release capsules which apparently are exactly the same according to my GP but I feel horrendous .,0,0,0,1,0
Alcohol_Consumption-498324-14-1,"I tried to escape at least 6 times , twice from the one step down ward .",0,0,0,1,0
Epilepsy_and_Non_epileptic_seizures-386118-4-13,The only thing missing was an order to give her 50 pushups and peel potatoes .,0,0,0,1,0
Chronic_Fatigue_Syndrome-339437-4-7,f5963 rr 674255 It would be interesting to know if those making money from the provision of GET feel they have any responsiblity to pushing for the release of data that would allow patients to make better informed decisions about this intervention .,0,0,0,1,0
Reflux_Oesophagitis-103868-216-4,"The last cash price I saw for him was 12 , 00 .",0,0,0,1,0
Knee_Problems-509832-4-1,lucky pain wise with the first 13 months ago the second one which I had done 5 weeks ago have still got quite bad bruising on knee I had issues with it bleeding after surgery but had good movement on it quicker .,1,0,0,0,0
Hip_Replacement-484277-18-22,I am dradding tonight ( Bonfires Fireworks ) the ward could be filled again by idiots showing off infront of there mates and fgetting a hand foot or face blown off or seriously burned .,0,1,0,0,0
Rhinitis-585330-8-2,"I paid a lot of money for Air Purifers , all to no avail .",0,0,0,1,0
Anxiety_Disorders-144664-4-1,"Propranolol is a rubbish medication for anything other than making you feel worse than what you already are a complete waste of time , hese tablets are a throwback to the 70 s and 80 s when a certain Canadian snooker player called Bill Werbenieuck used them in place of his usual 16pts lager and booked his place in the quarter finals that year , od knows why they are thrown around at real anxiety sufferers suspect its cost .",0,0,1,0,0
Citalopram-655006-3-1,Second time around took me much longer too 8 weeks as opposed to 2 Keep going .,0,0,0,1,0
Anxiety_Disorders-632797-1-8,"Takes longer , but the side effects are not as bad .",0,0,0,1,0
Haemochromatosis-660206-2-7,"You will not be doing your career a service by fronting up so tired you can not think , or stand up , memory shot , and looking and sounding incompetent .",0,0,0,1,0
Polymyalgia_Rheumatica_and_GCA-336896-5-8,"One member of my PMR GCA support group , recently in remission from PMR , contacted me about a sudden problem with the peripheral vision in one of her eyes .",0,0,0,1,0
Hip_Replacement-523332-2-2,I remember well how swollen my thigh knees and ankles got - quite scary and thank goodness I had access to this forum whose members reassured me and gave me great advice .,0,0,0,1,0
Depression-453678-3-1,A lady on here put me onto it it has lot s of people feeling nothing and mistaking the depression for not loving there partners anymore .,0,0,0,1,0
Prostate_Problems-499675-2346-4,"For those guys contemplating which way to go to address their BPH problem , I would think that Rezum should be a first choice from the options available right now , until it is ruled out for a medical reason .",0,1,0,0,0
Spinal_Problems-226583-303-1,"Hi Paula , mine charges ok on the docking , but I do have to move it around a bit on my tummy as its position changed and it gets very warm also .",0,0,0,1,0
Hip_Replacement-484015-45-3,"What you eat now will not show in your hair for several months , because hair is slow growing .",0,0,0,1,0
Alcohol_Consumption-640704-9-7,I could not be Publican as in landlady as my conscience would not allow me to sell poison or even to give it away free of charge .,0,0,0,1,0
Gout_and_Pseudogout-691817-3-2,I have probably missed my medications three times in 14 months .,0,0,0,1,0
Hip_Replacement-500732-0-6,I saw a consultant in Oct 14 who shook his head and said x-rays were inconclusive .,0,0,0,1,0
Benefits_and_Allowances-539417-1-1,They told me between 2 to 8 weeks after text but can sometimes take a bit longer .,0,0,0,1,0
Abdominal_Disorders--41570-77-1,Thank you for keeping this thread alive for a long time .,0,0,0,1,0
Anxiety_Disorders-639067-2-24,"I lived in such a dark place for so long though , I still have a terrible fear of going back there .",0,0,0,1,0
Polycythaemia_Rubra_Vera-655123-0-7,I understand that Rituximab costs more than Hydroxy carb but is half the price of Jakavi .,0,0,1,0,0
Polymyalgia_Rheumatica_and_GCA-449632-3-1,"I started at 30 mg but reduced quite quickly to 15 mg , and then slowing using the method in the link , down now to 6 mg after just over a year .",0,0,0,1,0
Infectious_Mononucleosis-602634-8-2,"It s normal but it is also equally normally to fully recover after this going on for so long , that will definitely happen , I truly believe that ! It s really hard to deal with not only the physical symptoms but the emotional symptoms too and the not knowing how long it will go on for or what you can do to help yourself - it is so so frustrating but it is a time factor and just being sensible , living a restful stress-free life ( easier said than done I know ) , but also still make time to do things",1,0,0,0,0
Atrophic_Vaginitis-669257-108-4,There were people here just recently who grew it for cancer treatment etc and they were charged and fined then just a couple of months later it was approved .,0,0,0,1,0
Ankle_Problems-545623-1-11,Unfortunatly my foot is rejecting hardware and I get shooting electric pains after 10- 30 seconds of weight bearing .,0,0,0,1,0
Autonomic_Dysfunction-216433-3-3,"So I think that comparing sympoms will not actually help you , a refferal to a specialist would be helpful if the specialist has experience in this field , I see a Spanish neurologist but I live in Leeds , I know people in London see a private person but he is expensive .",0,0,1,0,0
Anxiety_Disorders-629711-0-2,About 5 months now its gotten worst i feel s stress i can not sleep during the day or night i keep getting the worst of feelings like im going to die i can not breath my head get so heavy the back of my head and eyes pain so much my body get so weak and lifeless everyday i try to push myself to do my daily chores i keep getting this doom feelings like something going to happen to me when I am doing my chores my muscle get so weary I am afraid to walk anywhere alone or even be in crowd i stay all the,0,0,0,1,0
Epilepsy_and_Non_epileptic_seizures-542549-9-2,"it seems as though if one is not waiting for an appointment then it is a matter of waiting for results ! hopefully though you are moving closer to identifying what is amiss - it was not great news when they confirmed my epilepsy but , oh boy .",0,0,0,1,0
Depression-496223-15-2,"3 times a lady , that is what she was , nd missing you is not going to be hard to do , her morning smile will never be there , her lifted mood when ever she saw us , hat was her daily medicine , he was a critic yet her compliments on a daily basis set in stone , told us that this was indeed our mum , and she loved us more than anything .",0,0,0,1,0
Barretts_Oesophagus-426128-13-1,"The price difference is only about 1 or 2 i used to be on pariet , it stopped working for me , which is when I switched to Nexium , started from 40mg and just last year when I was diagnosed with Barrets my GI doctor Put me on 40mg twice a day .",0,0,1,0,0
Tendon_Problems-337298-6-1,"It would have cost them nothing , to voice the danger signs to watch out for , regarding DVT .",0,0,0,1,0
Abdominal_Disorders-206345-75-3,"When it is unpleasant it is horrid , I fee choked up and my whole family suffer from it .",0,0,0,1,0
Prostate_Cancer-545105-21-1,soory for the typo .,0,0,0,1,0
Hip_Replacement-569965-0-1,Had superpath hip replacement november 2015 never been pain free since and its now march 2017 When I woke up after op was in extreme pain which I was not expecting guy on the bed opposite to me on the ward could not understand why and said I must have low pain threshold as he was in for a hip replacement as he was so pleased with his other replacement that he would had The next day when he woke up after his op he was crying with the pain and kept saying that it was not like this with the other one,0,1,0,0,0
Cervical_Rib_Syndrome--35704-5-7,The consultations with the consultant ranged from 80 - 100 .,0,1,0,0,0
Headache-259012-78-18,"Stress also slows down the motility ( movement ) of the digestive system and everything just sits in there and ferments , filling the body with gas -- even a little of fermented gas that you may not even notice can wreak havoc in some people .",0,0,0,1,0
Depression-449620-1-10,What have you got to lose ? You can still refuse treatment if you want to but at least you will know will not you ?,0,1,0,0,0
Pityriasis_Rosea-682522-4-3,mine was a bit more complicated so lasted longer .,0,0,0,1,0
Genitourinary_Prolapse-521905-7-1,"I am so glad you got yourself sorted out in time , take it easy and hope the ward wont be too noisy for you to recover on .",0,0,0,1,0
Prostate_Problems-499675-2359-4,"However , we have to keep in mind that it takes some guys longer than others for the prostate tissue to be removed by the body s lymph system .",0,0,0,1,0
Hypertension-564186-8-1,What limit do they put on BP prior to hip surgery ? BP usually goes down when you are under and there are drugs that the anesthetist can use .,0,0,0,1,0
Prostate_Problems-567232-0-5,I have very slow and weak stream .,0,0,0,1,0
Hip_Replacement-593991-1-1,"how are you doing ? Groin pain will come and go for a while during the healing process after hip relacement surgery - your body is adjusting to the new hip and learning how to walk again - finding balance and keeping her balance is still challenging and without using a cane even more so - you mention that it is very painful to walk without a stick , so please keep using it - some of us need to use them longer than others and that is okay .",1,0,0,0,0
Hip_Replacement-495720-15-2,Union rep said that 80 of claims are refused at the first attempt .,0,0,0,1,0
Dermatitis_And_Eczema--61721-46-2,"I had even went through psychiatric care and was put on anti-epileptic medication for mood disorder and I was so sick from it that I had to take time off work , which ended up costing me my job .",0,0,1,0,0
Carpal_Tunnel-413727-0-2,I hoped it would go by itself but it just got worse it is so painful now I have to wear splints on both hands at night and I am off work now because of this I went for consultation on Monday and am going for operation this Saturday I am abit scared as to what it is like and as I am getting both done wil I b able to do anything ? If so wot should I try to do and wot to avoid ? I am a single mother so wud appreciate any advice so i no wot to exspect when get home ( if will manage on my own ) x .,0,1,0,0,0
Abdominal_Disorders-622013-0-22,"In the course of the examinations , they found arthrosis , intervertebral hernia , kidney stones , pancreatitis , duodenitis , pangastritis , ileitis and many other things .",0,0,0,1,0
Hip_Replacement-560584-3-5,"I no longer have pain or tenderness anywhere else , and have not done for a couple of months now .",0,0,0,1,0
Pain_and_Pain_Relief-497836-12-5,We would advise you to discuss this with the Prescribing Advisor of the relevant Clinical Commissioning Group ( CCG ) or local area team ( LAT ) where you live .,0,0,0,1,0
Neurological_Disorders-272099-1-1,"a friend of mine took it for a fast heart beat which was needing to be sorted with a pace maker after seven weeks she went back for a pre op check up , nd the operation was cancelled heart was working at the right rate , she now lives in new zealand with her children and grandchildren , hich wouldnt have been possiable before she is 61 .",0,1,0,0,0
Depression-528410-1-8,And doi nt get upset and take that as a rejection .,0,0,0,1,0
Alcohol_Consumption-586170-8-3,"While this is horrible for you to live with , it is not his fault .",0,0,0,1,0
Benefits_and_Allowances-517192-70-1,"You should qualify , it is a total hit and miss depending on who did the assessment .",0,0,0,1,0
Benefits_and_Allowances-520346-9-3,Les is correct when he states that the ultimate reason for the introduction of PIP was to save money by taking it away from disabled claimants .,0,0,0,1,0
Hernia-518533-0-13,I believe I have had some breathing problems since the hernia dismissed as anxiety so will ask a few questions in relation to that .,0,0,0,1,0
Anxiety_Disorders-535391-2-4,"If you feel things are not improving go and discuss it with your doctor , he can do a few basic examinations and advise you .",0,0,0,1,0
Colonoscopy-185999-0-3,The colonoscopy was rescheduled to 1 .,0,1,0,0,0
Hip_Replacement-664263-12-10,you are 28 and do not want to miss out not doing stuff you should take for granted .,0,0,0,1,0
Diverticula-631750-3-2,Has soon as that happens I go on a fluid only diet for 24 hours then chicken soup I wait until the pain goes then I introduce low fiber food It s take a while for me to get back into my routine of fybergel mabevarine and probiotic .,0,0,0,1,0
Mirtazapine-613178-0-15,"5mg is not doing anything , you are very mistaken because this dosage helps me sleep and has caused me to put on a lot of weight , too .",0,0,0,1,0
Chronic_Obstructive_Pulmonary_Disease-492548-11-5,"Just as a sample for cancer surgery : - your doc , the oncologist - the surgeon - the anesthesiologist or nurse anesthetist - the radiologist - charges for each speck of medication used ( anesthesia drugs anything else ) - hospital operating room charges - recovery room charges -room charges or , even worse , ICU charges by the second it seems followed by room charges - off-hour charges .",0,0,1,0,0
Sexual_Health-691996-0-8,I had a STD check which was clear the week after the sore healed but the doctor dismissed the mark as a scar as I think he was looking forward to going home .,0,0,0,0,1
Depression-274141-217-2,Make some money !,0,0,0,1,0
Prostate_Problems-601405-2-4,"However , by his own admission he knows absolutely nothing about some urological procedures .",0,1,0,0,0
Bipolar_Affective_Disorder-388245-11-4,"I used to listen to very loud music , scream shout , rip magazines up and paste them on to my walls , spend money , be promiscuous and draw the most disturbed pictures , both on paper and on Adobe Illustrator .",0,0,0,1,0
Citalopram-661945-4-2,"Stress is your body s alarm system , telling you to slow down , but we often do not recognise it and carry on .",0,0,0,1,0
Hip_Replacement-533723-10-2,It s also part of learning our limitations .,0,0,0,1,0
Hip_Replacement-569409-0-10,it is a slow process .,0,0,0,1,0
Hip_Replacement-510124-0-3,The surgeon wants to wait 3 months to schedule my left hip so I am not able to enjoy my new hip completely but I am in half as much pain as I was .,1,0,0,0,0
Hallux_Valgus_Bunions-373230-1-7,your body does tell you when it has had enough though so maybe limit your activities and spread them across a few days to give your foot chance to rest as well .,0,0,0,1,0
Fluoxetine-596847-2-1,"Thank you Carl , I really am trying , but the longer this goes on the harder it gets .",0,0,0,1,0
Vertigo_and_Dizziness-633347-9-1,Wow 6 months that is a long wait for a MRI scan .,1,0,0,0,0
Pain_and_Pain_Relief-496965-2-5,I can no longer bear the sight of these creatures let alone be treated by them .,0,0,0,1,0
Hypothyroidism-548522-12-8,My left eye has vision loss to where I can no longer wear my contacts as its not strong enough but my eye doctor says my eyes are still the same prescription .,0,0,0,1,0
Alcohol_Consumption-609608-4-4,Our finances have improved and we do not now argue about bills .,0,0,0,1,0
Spinal_Problems-569896-1-11,Got an MRI done that showed something at L4 L5 but was inconclusive .,0,0,0,0,1
Diabetes---6102-0-25,"Local sports facilities like swimming pools are virtually non existent and massively crowded , or else very expensive .",0,0,0,1,0
Irritable_Bowel_Syndrome--38570-1-10,"I would also recommend things like converting caffeinated drinks to Green Tea Redbush White Tea ( an aquired taste that I love now ! ) , trying a spoonful of Manuka Honey SPF 10 or 15 every so often , reducing wheat , starting the day with Porridge , lay off booze completely for a while , reject all things stressful from your life , maintaining good posture when eating and after eating , do not eat within 4 hours of bedtime , do not drink within an hour or two of bedtime , and do not rush food drink",0,0,0,1,0
Upper_Gastrointestinal_Endoscopy-398116-11-3,"white tongue , what I thought was difficulty feeing the food going down etc .",0,0,0,1,0
Levothyroxine_Sodium--30055-479-4,It costs about 200 for first consultation and 90 thereafter .,0,0,1,0,0
Atrophic_Vaginitis-549413-41-4,I was shocked at the price .,0,0,0,1,0
Aortic_Aneurysm_and_Dissection-498301-2-3,"and teachings that most except as facts when it is sold that way to us in all our advertising ? I am not on a mission , just reminding all , we need to research the facts with open eyes and not really to heavily on those employed with pensions and comfy jobs to tell the suffer consumer what is best for us whom are in turn , supported by major commercial entities with billions of riding on it , which has so much weight in research results depending on who is being funded and by how much ! Hence why",0,0,0,1,0
Hip_Replacement-695208-5-13,I feed my dogs raw and belong to a food co-op .,0,0,0,1,0
Alcohol_Consumption-611396-6-14,There are a few ways to limit your alcohol intake when you are out .,0,0,0,1,0
Constipation-639066-0-58,"If you need any more details ( there are many more but I am too lazy to type any longer , it is been 20-30 minutes ) , I will gladly give them .",0,0,0,1,0
Levothyroxine_Sodium-270255-9-2,"Unfortunately , the two years on the other crap has caused so much damage that recovery is really slow for me .",1,0,0,0,0
Elbow_Problems-654499-1-6,"I myself had it done 18 months ago , have had squeaking flopping from the beginning , and now am looking at a revision already for bushing wear ! I did gain mobility and no pain though , in trade off for severe limitations on it is use and this bushing problem .",0,0,0,1,0
Hypothyroidism-499701-1-8,In the UK this is available on a private prescription but not nhs .,0,0,0,1,0
Irritable_Bowel_Syndrome-271548-1-5,This helps the bacteria reproduce quicker .,0,0,0,1,0
Haemochromatosis-455291-7-3,"Her ferritin came back as 110 , still within the normal range but towards the higher limit .",0,0,0,1,0
Muscle_Disorders-604998-3-3,I am still waiting for results of blood tests taken last July by Prfessor Volker at Nescastle .,1,0,0,0,0
Polymyalgia_Rheumatica_and_GCA-596236-18-3,"I now studiously avoid attending council meetings , etc , and limit my community engagement to things where I know I can make a positive contribution without undue personal stress .",0,0,0,1,0
Atrial_Fibrillation_And_Flutter-565006-8-10,The nursing staff and the general ward doctors ( non-specialists ) became very concerned and were all set to launch into full flight and get me into surgery for ablation .,0,1,0,0,0
Venlafaxine-618750-24-4,"I know the prolonged release capsule s are not cheap , you can now get them in tablet form which are much cheaper but to be honest I do not know which type would be best .",0,0,1,0,0
Fibromyalgia_Syndrome-449405-20-7,"After being told for so long that my illness was all in my head and reading that , to many health professionals the illness does not exist , claiming a benefit is daunting - after all if your own GP does not support it why would someone who is trying to save the Government money agree you are ill ? I have also just had an overnight sleep study and it would appear I also have OSAHS ( although this was only mentioned on the discharge letter and I am awaiting a consultation for the results ) Anyway -",0,0,0,1,0
Hallux_Valgus_Bunions-300271-7-17,"My consultant has pointed out to me very graphically that compared to hip and knee replacement surgery , bunion surgery takes a much , much longer time from which to recover .",1,0,0,0,0
Polymyalgia_Rheumatica_and_GCA-338639-2-3,"i buy online and if you buy the large pots they are cheaper , and cheaper still if you buy 2 and postage is free for orders over 20 .",0,0,0,1,0
Reflux_Oesophagitis-544763-0-14,"After a long wait I managed to get a spot and went to one , hoping that is the end of my problems .",0,0,0,1,0
Urinary_Incontinence-498080-4-3,The hospital cancelled and rescheduled it for the 16th December which I had to decline as I was in hospital having a diseased parathyroid gland removed .,0,1,0,0,0
Anxiety_Disorders-527236-0-7,Not too long ago I received a text message from my supervisor saying this : Just checking in to see if you think you will be at work tomorrow ? I have an admission and contract signing so I really can not be getting called in the morning to be the 2nd person ? Meaning I work in health care and my supervisor had to work the floor and do cares and medications this morning .,0,0,0,1,0
Hernia-175407-15-3,It s just that our health service is underfunded and I can not really afford to go private .,0,0,0,1,0
Anxiety_Disorders-585728-0-32,He said all of these issues were normal side effects from the drug and to try and keep at it for awhile longer and I should start feeling better .,1,0,0,0,0
PTSD_Post_Traumatic_Stress_Disorder-593825-0-4,I am really worried that I might end up in a psychiatric ward .,0,1,0,0,0
Hip_Replacement-539957-2-1,Thanks Miss Linda I will try to sweet talk her and barter for future consideration .,0,0,0,1,0
Hip_Replacement-494755-58-5,Maybe part of what you need to do is to work out how to protect yourself if you are in danger in a future admission .,0,0,0,1,0
Depression-373649-0-24,"I do not suck up to him for his money , he rarely spends money on us and only tries to fufill our needs .",0,0,0,1,0
Chronic_Obstructive_Pulmonary_Disease-669827-5-2,No doubt there is an equivalent available in other countries .,0,0,0,1,0
Depression-175650-3-2,"not do everything , work will have a long wait and they should be supporting you so do not feel at all guilty you need this time to come to terms with everything that has happened , the best thing you have done is going to your doctor , but do not forget to tell them exactly how bad you are feeling there is no shame in feeling this way it happens to a lot of people I am glad you have started some medication but it will take time for you to start to feel a little better if you do not go back to the",0,0,0,1,0
Sjogrens_Syndrome-621955-23-20,"They re much more expensive than dentures , of course .",0,0,0,1,0
Atrial_Fibrillation_And_Flutter-689684-8-11,"After that I was on thinners immediately , Apixaban was prescribed given my risk of internal bleeding was low , and being in the UK cost was not an issue .",0,0,1,0,0
Backache-700838-6-6,I am wondering if I would be better just waiting to see if it improves itself with stretches or seeing an osteopath rather than putting myself though all the hospital appointments again .,0,0,0,1,0
Mental_Health-705999-0-20,I have had to call police tonight as hes taken my car for the 9th time without my permission and I am sure he was under the influence .,0,0,0,1,0
Fibromyalgia_Syndrome-452979-6-15,with the knowledge in the back of your mind that you can probably be still suitable for work but with limitations .,0,0,0,1,0
Deep_Vein_Thrombosis-482457-1-1,I would be tempted to go to A E as you are worried about pain etc and ask for an urgent Vascular Consultation .,0,1,0,0,0
Rheumatoid_Arthritis-298637-3-13,"Furthermore , the researchers point out since placebo tablets were not available for this study , the treating doctors and patients in this study were not blinded to medication .",0,0,0,1,0
Neurological_Disorders-496677-3-8,"It is possible for conditions like this to go into remission for months or years either by itself , or after treatment , and sometimes it will go away entirely if the immune system manages to correct itself , but this does not happen often .",0,0,0,1,0
Hernia-271484-1-3,"So I am waiting for an appointment for an ultrasound ! If the ultrasound shows a hernia , then I will go on the waiting list .",0,0,0,1,0
Ankylosing_Spondylitis-545416-1-1,Hey so when I was 20 I was a plumber which I had to give up due to not being able to physically do the job which was disappointing as I was one year out of my apprenticeship and just starting to earn good money ! Now I am 10 years on and now have a production management job which is great as it is not physical which I can cope with of course ! But if u get on the correct medication early enough you should be able to keep doing what you are already doing .,0,0,0,1,0
Disc_Prolapse-285037-9-15,"He prescribed 30mg of Codeine which did nothing for my pain at all , but I found medication that did but was refused it .",0,1,0,0,0
Polymyalgia_Rheumatica_and_GCA-603744-12-6,"Am now down to 10mg reducing very slowly by half mg a month and I am pain free although get tired easily as I do a lot , but within my limits .",0,0,0,1,0
Polymyalgia_Rheumatica_and_GCA--35046-19-7,"Home is too quiet at the mo , missing him the dog keeps going to the bottom of the stairs , ooking up as if to say come on then where are you He did look better today though , so trying to stay positive .",0,0,0,1,0
Bacterial_Vaginosis-690817-0-18,A prolonged period gives you a shorter time for treatment to work plus more days having a high Ph so the good bacteria do not stand a chance of ever growing back .,0,0,0,1,0
Hysterectomy-666637-4-6,I made the same mistakes and my recovery was not easy .,0,0,0,1,0
Urticarial_Rash-526006-1-32,"Xolair is very promising for some people , but it pretty expensive and probably impossible to get prescribed for Cold Urticaria in the UK , where it is funding is very limited to Severe Asthma and I think certain types of severe spontaneous Urticarias .",0,0,1,0,0
Hypertension-449369-5-13,"available ove the counter now , t s a very effective antacid , antispasmodic medicines that is far more effective than the usual gaviscon and milk of mgnesia .",0,1,0,0,0
Gabapentin-696943-3-10,"It had NOTHING to do with the harm to the patients , just that they wanted their money back for the drug payments .",0,0,1,0,0
Depression-257620-3-1,It may seem perverse that the NHS can not provide good access to psychology when that approach can be very good and does not always involve medicines .,0,1,0,0,0
Knee_Problems-567263-15-19,The point is : Do nt waste your money on products that may or may not work but are presented with a lot of false hype .,0,0,0,1,0
Depression-298240-8-8,I blocked it out and everyday wish to block it out again ! D-day is judgement day for all of my family to finally support me by confronting Barrie and me saying I remembered what you did to me as a child and to see his face his reaction infront of my aunt his wife he denied too anything happening all them years back .,0,0,0,1,0
Diverticula-571768-4-31,"I worked ( missed only 3 days for hospital appointments tests ) , played competitive sport , walked and gardened .",0,0,0,1,0
Knee_Problems-477920-0-10,friends say they think everything in last 6 months has just overwhelmed me ( so much so that my employer is currently paying for me to see a Counsellor ) .,0,0,0,1,0
Polymyalgia_Rheumatica_and_GCA-513307-5-1,Mother Nature looked down and saw that I was spending a lot of money having my hair professionally frosted .,0,0,0,1,0
Anxiety_Disorders-595034-4-13,We have HSE here and he told me there was no counsellor available to me .,0,0,0,1,0
Urticarial_Rash-299811-57-5,The Portland area just keeps getting more expensive so I have been living with friends for over a year now .,0,0,0,1,0
